,text,labels,all_span_aspect
0,Pin Sài tầm 50h cho pin 100/100. Camera ổn ... tất cả đều OK ... nhân viên thế giới di động trần văn thời cà mau nhiệt tình và vui vẻ ...chúc các ae sức khỏe tốt và phục ok hoài nha....,"[[0, 31, 'BATTERY#POSITIVE'], [33, 42, 'CAMERA#POSITIVE'], [47, 60, 'GENERAL#POSITIVE'], [65, 181, 'SER&ACC#POSITIVE']]","[('Pin Sài tầm 50h cho pin 100/100', 'BATTERY#POSITIVE'), ('Camera ổn', 'CAMERA#POSITIVE'), ('tất cả đều OK', 'GENERAL#POSITIVE'), ('nhân viên thế giới di động trần văn thời cà mau nhiệt tình và vui vẻ ...chúc các ae sức khỏe tốt và phục ok hoài nha', 'SER&ACC#POSITIVE')]"
1,"Lag và hao pin là cái tóm tắt về máy. Sam làm tệ quá, không bằng mấy con tàu cùng phân khúc","[[0, 3, 'PERFORMANCE#NEGATIVE'], [8, 15, 'BATTERY#NEGATIVE'], [45, 106, 'GENERAL#NEGATIVE']]","[('Lag', 'PERFORMANCE#NEGATIVE'), ('hao pin', 'BATTERY#NEGATIVE'), ('Sam làm tệ quá, không bằng mấy con tàu cùng phân khúc', 'GENERAL#NEGATIVE')]"
2,Tất cả đều ổn ngoại trừ lúc máy nóng lên thì pin tụt nhanh hơn tụt quần haizz. Cam chụp cũng gọi là tầm trung. Nếu dùng lướt web bình thường thì có thể dùng được cả ngày,"[[79, 109, 'CAMERA#NEUTRAL'], [111, 169, 'BATTERY#POSITIVE'], [28, 71, 'BATTERY#NEGATIVE']]","[('Cam chụp cũng gọi là tầm trung', 'CAMERA#NEUTRAL'), ('Nếu dùng lướt web bình thường thì có thể dùng được cả ngày', 'BATTERY#POSITIVE'), ('máy nóng lên thì pin tụt nhanh hơn tụt quần', 'BATTERY#NEGATIVE')]"
3,"Ok mua máy ở TGDD chính sách đổi trả rất tốt,rất yên tâm khi mua ở TGDD,quản lý ở 15A đường bà hôm phường 13 quận 6 nhẹ nhàng và vui tính,nhiên viên ai cũng nhiệt tình, hài lòng về cách chăm sóc khách hàng của các bạn!.","[[18, 217, 'SER&ACC#POSITIVE']]","[('chính sách đổi trả rất tốt,rất yên tâm khi mua ở TGDD,quản lý ở 15A đường bà hôm phường 13 quận 6 nhẹ nhàng và vui tính,nhiên viên ai cũng nhiệt tình, hài lòng về cách chăm sóc khách hàng của các bạn', 'SER&ACC#POSITIVE')]"
4,"kiểu dáng thì đẹp,cầm chắc tay,nhưng loa nhỏ quá,nhân viên phục vụ rất nhiệt tình","[[0, 30, 'DESIGN#POSITIVE'], [37, 48, 'FEATURES#NEGATIVE'], [49, 81, 'SER&ACC#POSITIVE']]","[('kiểu dáng thì đẹp,cầm chắc tay', 'DESIGN#POSITIVE'), ('loa nhỏ quá', 'FEATURES#NEGATIVE'), ('nhân viên phục vụ rất nhiệt tình', 'SER&ACC#POSITIVE')]"
5,"Máy loa to ,bin trâu game lp tuy chỉ bựt đc fqf30 nhưng chơi game như bựt 60fqs ko bị mỏi mắt ngon hơn joy 3 chơi nhìn như kiểu bị lắc ko mượt như c3i .gét mỗi ko đc tự mở hộp mà máy bị bóc rồi mua máy mới mà như kiểu mua đã qua sử dụng","[[0, 10, 'FEATURES#POSITIVE'], [12, 20, 'BATTERY#POSITIVE'], [21, 150, 'CAMERA#NEUTRAL']]","[('Máy loa to', 'FEATURES#POSITIVE'), ('bin trâu', 'BATTERY#POSITIVE'), ('game lp tuy chỉ bựt đc fqf30 nhưng chơi game như bựt 60fqs ko bị mỏi mắt ngon hơn joy 3 chơi nhìn như kiểu bị lắc ko mượt như c3i', 'CAMERA#NEUTRAL')]"
6,Hài lòng về sản phẩm. Mọi thứ đêu rât tốt nghe nhạc xem phim chơi game âm thanh to và hay,"[[0, 41, 'GENERAL#POSITIVE'], [42, 89, 'FEATURES#POSITIVE']]","[('Hài lòng về sản phẩm. Mọi thứ đêu rât tốt', 'GENERAL#POSITIVE'), ('nghe nhạc xem phim chơi game âm thanh to và hay', 'FEATURES#POSITIVE')]"
7,"Mua được 1 tuần thấy máy quá OKPin trâu , máy mượt , cảm biến vân tay nhạy , k nóng máy . Nhu cầu chơi game nên k cần gì hơn , liên quân vô nhanh gần ngang ip . Vs mức giá này mua con máy sài thấy quá hời luôn","[[21, 31, 'GENERAL#POSITIVE'], [31, 39, 'BATTERY#POSITIVE'], [42, 50, 'PERFORMANCE#POSITIVE'], [53, 74, 'FEATURES#POSITIVE'], [77, 158, 'PERFORMANCE#POSITIVE'], [161, 209, 'PRICE#POSITIVE']]","[('máy quá OK', 'GENERAL#POSITIVE'), ('Pin trâu', 'BATTERY#POSITIVE'), ('máy mượt', 'PERFORMANCE#POSITIVE'), ('cảm biến vân tay nhạy', 'FEATURES#POSITIVE'), ('k nóng máy . Nhu cầu chơi game nên k cần gì hơn , liên quân vô nhanh gần ngang ip', 'PERFORMANCE#POSITIVE'), ('Vs mức giá này mua con máy sài thấy quá hời luôn', 'PRICE#POSITIVE')]"
8,Máy mượt . pin trâu,"[[0, 8, 'PERFORMANCE#POSITIVE'], [11, 19, 'BATTERY#POSITIVE']]","[('Máy mượt', 'PERFORMANCE#POSITIVE'), ('pin trâu', 'BATTERY#POSITIVE')]"
9,Gía này thì quá ổn so với cấu hình ! Gía rẻ như này các bạn còn có thể đòi hỏi thêm những gì nữa ?,"[[0, 18, 'PRICE#POSITIVE'], [37, 51, 'PRICE#POSITIVE']]","[('Gía này thì quá ổn', 'PRICE#POSITIVE'), ('Gía rẻ như này', 'PRICE#POSITIVE')]"
